2012-09-01;107.75;108.16716
2012-09-02;107.65;108.09831
2012-09-03;107.6;108.031975
2012-09-04;107.05;107.90125
2012-09-05;108.0;107.9144
2012-09-06;108.5;107.992355
2012-09-07;108.85;108.10653
2012-09-08;108.5;108.15891
2012-09-09;108.25;108.171036
2012-09-10;108.8;108.25477
2012-09-11;107.75;108.18758
2012-09-12;107.8;108.13598
2012-09-13;106.9;107.97144
2012-09-14;107.6;107.922
2012-09-18;107.1;107.56419
2012-09-19;107.25;107.52237
2012-09-20;107.65;107.53936
2012-09-21;107.8;107.57406
2012-09-22;108.5;107.69732
2012-09-23;107.5;107.67105
2012-09-24;107.7;107.674904
2012-09-25;106.9;107.57175
2012-09-26;107.55;107.568855
2012-09-27;107.55;107.566345
2012-09-28;107.15;107.51092
2012-09-29;107.5;107.50947
2012-09-30;107.65;107.528175
2012-10-02;107.35;107.483894
2012-10-03;107.2;107.4461
2012-10-04;107.05;107.39337
2012-10-05;107.05;107.347664
2012-10-06;106.65;107.25479
2012-10-07;107.9;107.34068
2012-10-08;107.4;107.34858
2012-10-09;107.9;107.42199
2012-10-10;107.2;107.39244
2012-10-11;107.85;107.453354
2012-10-12;108.35;107.572716
2012-10-13;107.45;107.55638
2012-10-14;107.75;107.58215
2012-10-15;108.05;107.64443
2012-10-17;108.45;107.844635
2012-10-18;107.05;107.73885
2012-10-19;106.45;107.567276
2012-10-20;107.45;107.55167
2012-10-21;107.7;107.57141
2012-10-23;107.3;107.50396
2012-11-01;105.0;105.69223
